episode,source,target,value
all,CAPTAIN PHASMA,POE,1
all,CAPTAIN PHASMA,FINN,3
all,GENERAL HUX,KYLO REN,5
all,REY,UNKAR PLUTT,2
all,FINN,POE,11
all,GENERAL HUX,LIEUTENANT MITAKA,1
all,KYLO REN,LIEUTENANT MITAKA,2
all,CAPTAIN PHASMA,GENERAL HUX,1
all,FINN,REY,29
all,HAN,REY,17
all,FINN,HAN,23
all,BALA-TIK,HAN,2
all,BALA-TIK,REY,1
all,BALA-TIK,FINN,1
all,GENERAL HUX,SNOKE,3
all,KYLO REN,SNOKE,2
all,HAN,MAZ,4
all,FINN,MAZ,2
all,MAZ,REY,2
all,HAN,POE,2
all,LEIA,POE,3
all,FINN,LEIA,3
all,KYLO REN,REY,4
all,POE,SNAP,2
all,ADMIRAL ACKBAR,POE,1
all,C-3PO,POE,2
all,ADMIRAL STATURA,POE,1
all,HAN,SNAP,1
all,ADMIRAL ACKBAR,SNAP,1
all,FINN,SNAP,1
all,LEIA,SNAP,1
all,C-3PO,SNAP,1
all,ADMIRAL STATURA,SNAP,1
all,ADMIRAL STATURA,HAN,1
all,ADMIRAL ACKBAR,FINN,1
all,ADMIRAL ACKBAR,ADMIRAL STATURA,1
all,C-3PO,FINN,1
all,ADMIRAL STATURA,FINN,1
all,ADMIRAL STATURA,LEIA,2
all,ADMIRAL STATURA,C-3PO,2
all,CAPTAIN PHASMA,HAN,2
all,COLONEL DATOO,GENERAL HUX,1
all,ELLO ASTY,POE,3
all,JESS,SNAP,1
all,HAN,KYLO REN,3
all,FINN,KYLO REN,2
all,JESS,NIV LEK,2
all,NIV LEK,YOLO ZIFF,1
all,NIV LEK,POE,2
all,ELLO ASTY,NIV LEK,2
all,JESS,YOLO ZIFF,1
all,JESS,POE,2
all,ELLO ASTY,JESS,2
all,POE,YOLO ZIFF,1
all,ELLO ASTY,YOLO ZIFF,1
all,LEIA,REY,1
all,LUKE,REY,1
