episode,name,value,colour
1,R2-D2,33,#bde0f6
1,QUI-GON,61,#4f4fb1
1,NUTE GUNRAY,19,#808080
1,PK-4,3,#808080
1,TC-14,5,#808080
1,OBI-WAN,34,#48D1CC
1,DOFINE,4,#808080
1,RUNE,11,#808080
1,TEY HOW,5,#808080
1,EMPEROR,14,#191970
1,CAPTAIN PANAKA,20,#808080
1,SIO BIBBLE,8,#808080
1,JAR JAR,36,#9a9a00
1,TARPALS,4,#808080
1,BOSS NASS,5,#808080
1,PADME,31,#DDA0DD
1,RIC OLIE,12,#808080
1,WATTO,8,#808080
1,ANAKIN,41,#ce3b59
1,SEBULBA,4,#808080
1,JIRA,4,#808080
1,SHMI,11,#808080
1,C-3PO,6,#FFD700
1,DARTH MAUL,6,#808080
1,KITSTER,5,#808080
1,WALD,4,#808080
1,FODE/BEED,12,#808080
1,JABBA,4,#808080
1,GREEDO,3,#808080
1,VALORUM,4,#808080
1,MACE WINDU,6,#808080
1,KI-ADI-MUNDI,5,#808080
1,YODA,7,#9ACD32
1,RABE,3,#808080
1,BAIL ORGANA,3,#808080
1,GENERAL CEEL,5,#808080
1,BRAVO TWO,6,#808080
1,BRAVO THREE,4,#808080
2,R2-D2,15,#bde0f6
2,CAPTAIN TYPHO,5,#808080
2,EMPEROR,7,#191970
2,SENATOR ASK AAK,4,#808080
2,ORN FREE TAA,4,#808080
2,MACE WINDU,13,#808080
2,YODA,13,#9ACD32
2,KI-ADI-MUNDI,4,#808080
2,BAIL ORGANA,4,#808080
2,JAR JAR,7,#9a9a00
2,OBI-WAN,34,#48D1CC
2,ANAKIN,40,#ce3b59
2,PADME,24,#DDA0DD
2,PK-4,3,#808080
2,SIO BIBBLE,3,#808080
2,SOLA,4,#808080
2,JOBAL,4,#808080
2,RUWEE,5,#808080
2,TAUN WE,8,#808080
2,LAMA SU,9,#808080
2,BOBA FETT,7,#808080
2,JANGO FETT,6,#808080
2,WATTO,3,#808080
2,C-3PO,10,#FFD700
2,OWEN,6,#808080
2,BERU,3,#808080
2,CLIEGG,4,#808080
2,SHMI,3,#808080
2,COUNT DOOKU,9,#808080
2,SUN RIT,4,#808080
2,POGGLE,4,#808080
2,NUTE GUNRAY,4,#808080
2,PLO KOON,3,#808080
3,R2-D2,31,#bde0f6
3,ANAKIN,54,#ce3b59
3,OBI-WAN,60,#48D1CC
3,ODD BALL,5,#808080
3,GENERAL GRIEVOUS,13,#808080
3,EMPEROR,25,#191970
3,COUNT DOOKU,3,#808080
3,BAIL ORGANA,21,#808080
3,C-3PO,16,#FFD700
3,PADME,24,#DDA0DD
3,YODA,24,#9ACD32
3,FANG ZAR,4,#808080
3,MON MOTHMA,4,#808080
3,GIDDEAN DANU,3,#808080
3,MACE WINDU,8,#808080
3,CAPTAIN TYPHO,4,#808080
3,CLONE COMMANDER GREE,5,#808080
3,CLONE COMMANDER CODY,5,#808080
3,JAR JAR,3,#9a9a00
3,TION MEDON,4,#808080
3,NUTE GUNRAY,6,#808080
3,PLO KOON,3,#808080
3,CAPTAIN ANTILLES,4,#808080
3,DARTH VADER,5,#000000
3,QUI-GON,3,#4f4fb1
4,R2-D2,40,#bde0f6
4,CHEWBACCA,30,#A0522D
4,C-3PO,43,#FFD700
4,LUKE,89,#3881e5
4,DARTH VADER,26,#000000
4,CAMIE,4,#808080
4,BIGGS,19,#808080
4,LEIA,26,#DCDCDC
4,BERU,6,#808080
4,OWEN,7,#808080
4,OBI-WAN,23,#48D1CC
4,MOTTI,4,#808080
4,TARKIN,13,#808080
4,HAN,45,#ff9400
4,GREEDO,3,#808080
4,JABBA,3,#808080
4,DODONNA,4,#808080
4,GOLD LEADER,15,#808080
4,WEDGE,16,#808080
4,RED LEADER,34,#808080
4,RED TEN,9,#808080
4,GOLD FIVE,9,#808080
5,R2-D2,30,#bde0f6
5,CHEWBACCA,46,#A0522D
5,LUKE,45,#3881e5
5,HAN,51,#ff9400
5,RIEEKAN,8,#808080
5,LEIA,46,#DCDCDC
5,C-3PO,46,#FFD700
5,DERLIN,4,#808080
5,OBI-WAN,4,#48D1CC
5,ZEV,7,#808080
5,PIETT,10,#808080
5,OZZEL,4,#808080
5,DARTH VADER,21,#000000
5,DACK,5,#808080
5,WEDGE,9,#808080
5,JANSON,5,#808080
5,NEEDA,4,#808080
5,EMPEROR,3,#191970
5,YODA,7,#9ACD32
5,BOBA FETT,6,#808080
5,LANDO,23,#808080
6,R2-D2,27,#bde0f6
6,CHEWBACCA,28,#A0522D
6,JERJERROD,4,#808080
6,DARTH VADER,13,#000000
6,C-3PO,33,#FFD700
6,BIB FORTUNA,4,#808080
6,JABBA,5,#808080
6,LUKE,31,#3881e5
6,BOUSHH,4,#808080
6,HAN,33,#ff9400
6,LEIA,22,#DCDCDC
6,LANDO,21,#808080
6,EMPEROR,11,#191970
6,YODA,3,#9ACD32
6,OBI-WAN,3,#48D1CC
6,MON MOTHMA,3,#808080
6,ADMIRAL ACKBAR,10,#808080
6,PIETT,5,#808080
6,WEDGE,8,#808080
6,ANAKIN,3,#ce3b59
