episode,name,value,colour
7,LUKE,2,#3881e5
7,R2-D2,5,#bde0f6
7,CHEWBACCA,43,#A0522D
7,BB-8,40,#eb5d00
7,LOR SAN TEKKA,5,#808080
7,POE,31,#a15bea
7,KYLO REN,23,#000000
7,CAPTAIN PHASMA,7,#808080
7,FINN,64,#07b19f
7,UNKAR PLUTT,6,#808080
7,REY,57,#ffe0af
7,GENERAL HUX,15,#808080
7,LIEUTENANT MITAKA,4,#808080
7,HAN,47,#ff9400
7,BALA-TIK,5,#808080
7,SNOKE,5,#191970
7,MAZ,7,#808080
7,C-3PO,9,#FFD700
7,LEIA,11,#DCDCDC
7,SNAP,6,#808080
7,ADMIRAL ACKBAR,5,#808080
7,ADMIRAL STATURA,4,#808080
7,YOLO ZIFF,4,#808080
7,COLONEL DATOO,4,#808080
7,ELLO ASTY,5,#808080
7,JESS,5,#808080
7,NIV LEK,4,#808080
all,R2-D2,171,#bde0f6
all,CHEWBACCA,145,#A0522D
all,BB-8,40,#eb5d00
all,QUI-GON,62,#4f4fb1
all,NUTE GUNRAY,25,#808080
all,PK-4,4,#808080
all,TC-14,5,#808080
all,OBI-WAN,148,#48D1CC
all,DOFINE,4,#808080
all,RUNE,11,#808080
all,TEY HOW,5,#808080
all,EMPEROR,52,#191970
all,CAPTAIN PANAKA,20,#808080
all,SIO BIBBLE,9,#808080
all,JAR JAR,42,#9a9a00
all,TARPALS,4,#808080
all,BOSS NASS,5,#808080
all,PADME,75,#DDA0DD
all,RIC OLIE,12,#808080
all,WATTO,9,#808080
all,ANAKIN,132,#ce3b59
all,SEBULBA,4,#808080
all,JIRA,4,#808080
all,SHMI,12,#808080
all,C-3PO,151,#FFD700
all,DARTH MAUL,6,#808080
all,KITSTER,5,#808080
all,WALD,4,#808080
all,FODE/BEED,12,#808080
all,JABBA,8,#808080
all,GREEDO,4,#808080
all,VALORUM,4,#808080
all,MACE WINDU,23,#808080
all,KI-ADI-MUNDI,7,#808080
all,YODA,46,#9ACD32
all,RABE,3,#808080
all,BAIL ORGANA,24,#808080
all,GENERAL CEEL,5,#808080
all,BRAVO TWO,6,#808080
all,BRAVO THREE,4,#808080
all,CAPTAIN TYPHO,7,#808080
all,SENATOR ASK AAK,4,#808080
all,ORN FREE TAA,4,#808080
all,SOLA,4,#808080
all,JOBAL,4,#808080
all,RUWEE,5,#808080
all,TAUN WE,8,#808080
all,LAMA SU,9,#808080
all,BOBA FETT,11,#808080
all,JANGO FETT,6,#808080
all,OWEN,11,#808080
all,BERU,7,#808080
all,CLIEGG,4,#808080
all,COUNT DOOKU,10,#808080
all,SUN RIT,4,#808080
all,POGGLE,4,#808080
all,PLO KOON,4,#808080
all,ODD BALL,5,#808080
all,GENERAL GRIEVOUS,13,#808080
all,FANG ZAR,4,#808080
all,MON MOTHMA,5,#808080
all,GIDDEAN DANU,3,#808080
all,CLONE COMMANDER GREE,5,#808080
all,CLONE COMMANDER CODY,5,#808080
all,TION MEDON,4,#808080
all,CAPTAIN ANTILLES,4,#808080
all,DARTH VADER,59,#000000
all,LUKE,161,#3881e5
all,CAMIE,4,#808080
all,BIGGS,19,#808080
all,LEIA,99,#DCDCDC
all,MOTTI,4,#808080
all,TARKIN,13,#808080
all,HAN,170,#ff9400
all,DODONNA,4,#808080
all,GOLD LEADER,15,#808080
all,WEDGE,29,#808080
all,RED LEADER,34,#808080
all,RED TEN,9,#808080
all,GOLD FIVE,9,#808080
all,RIEEKAN,8,#808080
all,DERLIN,4,#808080
all,ZEV,7,#808080
all,PIETT,13,#808080
all,OZZEL,4,#808080
all,DACK,5,#808080
all,JANSON,5,#808080
all,NEEDA,4,#808080
all,LANDO,42,#808080
all,JERJERROD,4,#808080
all,BIB FORTUNA,4,#808080
all,BOUSHH,4,#808080
all,ADMIRAL ACKBAR,13,#808080
all,LOR SAN TEKKA,5,#808080
all,POE,31,#a15bea
all,KYLO REN,23,#000000
all,CAPTAIN PHASMA,7,#808080
all,FINN,64,#07b19f
all,UNKAR PLUTT,6,#808080
all,REY,57,#ffe0af
all,GENERAL HUX,15,#808080
all,LIEUTENANT MITAKA,4,#808080
all,BALA-TIK,5,#808080
all,SNOKE,5,#191970
all,MAZ,7,#808080
all,SNAP,6,#808080
all,ADMIRAL STATURA,4,#808080
all,YOLO ZIFF,4,#808080
all,COLONEL DATOO,4,#808080
all,ELLO ASTY,5,#808080
all,JESS,5,#808080
all,NIV LEK,4,#808080
